"customer_id","total_rfm_score","rfm_category_combination","customer_segment"
"18224",4,"211","CHURNED CUSTOMER"
"18223",12,"444","LOYAL"
"18222",6,"312","CANNOT BE DEFINED"
"18221",10,"433","LOYAL"
"18220",8,"233","POTENTIAL CHURNERS"
"18219",12,"444","LOYAL"
"18218",8,"233","POTENTIAL CHURNERS"
"18217",9,"333","ACTIVE"
"18216",6,"312","CANNOT BE DEFINED"
"18215",9,"333","ACTIVE"
"18214",7,"133","SLIPPING AWAY, CANNOT LOSE"
"18213",4,"211","CHURNED CUSTOMER"
"18212",6,"222","POTENTIAL CHURNERS"
"18211",8,"332","ACTIVE"
"18210",11,"434","LOYAL"
"18209",5,"311","NEW CUSTOMERS"
"18208",5,"122","CANNOT BE DEFINED"
"18207",4,"112","CHURNED CUSTOMER"
"18206",3,"111","CHURNED CUSTOMER"
"18205",7,"322","POTENTIAL CHURNERS"
"18204",8,"323","ACTIVE"
"18203",7,"232","CANNOT BE DEFINED"
"18202",8,"233","POTENTIAL CHURNERS"
"18201",4,"112","CHURNED CUSTOMER"
"18200",4,"211","CHURNED CUSTOMER"
"18199",3,"111","CHURNED CUSTOMER"
"18198",12,"444","LOYAL"
"18197",3,"111","CHURNED CUSTOMER"
"18196",9,"333","ACTIVE"
"18195",3,"111","CHURNED CUSTOMER"
"18194",10,"334","CANNOT BE DEFINED"
"18193",8,"233","POTENTIAL CHURNERS"
"18192",8,"323","ACTIVE"
"18191",6,"222","POTENTIAL CHURNERS"
"18190",7,"232","CANNOT BE DEFINED"
"18189",9,"333","ACTIVE"
"18188",11,"434","LOYAL"
"18187",4,"112","CHURNED CUSTOMER"
"18186",3,"111","CHURNED CUSTOMER"
"18185",4,"211","CHURNED CUSTOMER"
"18184",6,"411","NEW CUSTOMERS"
"18183",6,"222","POTENTIAL CHURNERS"
"18182",3,"111","CHURNED CUSTOMER"
"18181",10,"433","LOYAL"
"18180",10,"433","LOYAL"
"18179",12,"444","LOYAL"
"18178",10,"244","SLIPPING AWAY, CANNOT LOSE"
"18177",10,"343","SLIPPING AWAY, CANNOT LOSE"
"18176",5,"212","CHURNED CUSTOMER"
"18175",3,"111","CHURNED CUSTOMER"
"18174",7,"421","NEW CUSTOMERS"
"18173",10,"334","CANNOT BE DEFINED"
"18172",12,"444","LOYAL"
"18171",11,"344","SLIPPING AWAY, CANNOT LOSE"
"18170",11,"344","SLIPPING AWAY, CANNOT LOSE"
"18169",5,"311","NEW CUSTOMERS"
"18168",10,"244","SLIPPING AWAY, CANNOT LOSE"
"18167",10,"433","LOYAL"
"18166",3,"111","CHURNED CUSTOMER"
"18165",4,"211","CHURNED CUSTOMER"
"18164",6,"312","CANNOT BE DEFINED"
"18163",4,"112","CHURNED CUSTOMER"
"18162",5,"122","CANNOT BE DEFINED"
"18161",10,"433","LOYAL"
"18160",8,"323","ACTIVE"
"18159",5,"212","CHURNED CUSTOMER"
"18158",8,"422","ACTIVE"
"18157",3,"111","CHURNED CUSTOMER"
"18156",9,"423","CANNOT BE DEFINED"
"18155",7,"322","POTENTIAL CHURNERS"
"18154",10,"433","LOYAL"
"18153",3,"111","CHURNED CUSTOMER"
"18152",4,"112","CHURNED CUSTOMER"
"18151",8,"233","POTENTIAL CHURNERS"
"18150",7,"322","POTENTIAL CHURNERS"
"18149",10,"343","SLIPPING AWAY, CANNOT LOSE"
"18148",3,"111","CHURNED CUSTOMER"
"18147",6,"321","ACTIVE"
"18146",5,"221","POTENTIAL CHURNERS"
"18145",12,"444","LOYAL"
"18144",12,"444","LOYAL"
"18143",7,"223","POTENTIAL CHURNERS"
"18142",7,"223","POTENTIAL CHURNERS"
"18141",5,"122","CANNOT BE DEFINED"
"18140",4,"112","CHURNED CUSTOMER"
"18139",11,"434","LOYAL"
"18138",4,"211","CHURNED CUSTOMER"
"18137",4,"121","CHURNED CUSTOMER"
"18136",9,"333","ACTIVE"
"18135",10,"343","SLIPPING AWAY, CANNOT LOSE"
"18134",5,"122","CANNOT BE DEFINED"
"18133",7,"223","POTENTIAL CHURNERS"
"18132",3,"111","CHURNED CUSTOMER"
"18131",3,"111","CHURNED CUSTOMER"
"18130",9,"423","CANNOT BE DEFINED"
"18129",5,"221","POTENTIAL CHURNERS"
"18128",4,"112","CHURNED CUSTOMER"
"18127",9,"432","ACTIVE"
"18126",5,"311","NEW CUSTOMERS"
"18125",9,"333","ACTIVE"
"18124",4,"121","CHURNED CUSTOMER"
"18123",9,"432","ACTIVE"
"18122",10,"433","LOYAL"
"18121",6,"222","POTENTIAL CHURNERS"
"18120",5,"221","POTENTIAL CHURNERS"
"18119",6,"222","POTENTIAL CHURNERS"
"18118",12,"444","LOYAL"
"18117",5,"311","NEW CUSTOMERS"
"18116",10,"343","SLIPPING AWAY, CANNOT LOSE"
"18115",3,"111","CHURNED CUSTOMER"
"18114",4,"211","CHURNED CUSTOMER"
"18113",4,"211","CHURNED CUSTOMER"
"18112",9,"432","ACTIVE"
"18111",4,"112","CHURNED CUSTOMER"
"18110",8,"422","ACTIVE"
"18109",12,"444","LOYAL"
"18108",6,"222","POTENTIAL CHURNERS"
"18107",3,"111","CHURNED CUSTOMER"
"18106",8,"233","POTENTIAL CHURNERS"
"18105",6,"321","ACTIVE"
"18104",6,"312","CANNOT BE DEFINED"
"18103",3,"111","CHURNED CUSTOMER"
"18102",12,"444","LOYAL"
"18101",9,"432","ACTIVE"
"18100",4,"112","CHURNED CUSTOMER"
"18099",4,"211","CHURNED CUSTOMER"
"18098",4,"112","CHURNED CUSTOMER"
"18097",12,"444","LOYAL"
"18096",10,"433","LOYAL"
"18095",8,"233","POTENTIAL CHURNERS"
"18094",11,"344","SLIPPING AWAY, CANNOT LOSE"
"18093",11,"344","SLIPPING AWAY, CANNOT LOSE"
"18092",12,"444","LOYAL"
"18091",5,"122","CANNOT BE DEFINED"
"18090",5,"122","CANNOT BE DEFINED"
"18089",4,"112","CHURNED CUSTOMER"
"18088",5,"311","NEW CUSTOMERS"
"18087",10,"244","SLIPPING AWAY, CANNOT LOSE"
"18086",4,"211","CHURNED CUSTOMER"
"18085",8,"233","POTENTIAL CHURNERS"
"18084",8,"422","ACTIVE"
"18083",4,"112","CHURNED CUSTOMER"
"18082",6,"312","CANNOT BE DEFINED"
"18081",6,"321","ACTIVE"
"18080",9,"423","CANNOT BE DEFINED"
"18079",10,"334","CANNOT BE DEFINED"
"18078",7,"232","CANNOT BE DEFINED"
"18077",12,"444","LOYAL"
"18076",4,"211","CHURNED CUSTOMER"
"18075",12,"444","LOYAL"
"18074",7,"223","POTENTIAL CHURNERS"
"18073",10,"244","SLIPPING AWAY, CANNOT LOSE"
"18072",4,"211","CHURNED CUSTOMER"
"18071",8,"233","POTENTIAL CHURNERS"
"18070",3,"111","CHURNED CUSTOMER"
"18069",11,"344","SLIPPING AWAY, CANNOT LOSE"
"18068",4,"211","CHURNED CUSTOMER"
"18067",6,"312","CANNOT BE DEFINED"
"18066",9,"333","ACTIVE"
"18065",12,"444","LOYAL"
"18064",10,"244","SLIPPING AWAY, CANNOT LOSE"
"18063",4,"121","CHURNED CUSTOMER"
"18062",8,"233","POTENTIAL CHURNERS"
"18061",12,"444","LOYAL"
"18060",6,"123","CHURNED CUSTOMER"
"18059",8,"431","CANNOT BE DEFINED"
"18058",9,"432","ACTIVE"
"18057",7,"133","SLIPPING AWAY, CANNOT LOSE"
"18056",6,"222","POTENTIAL CHURNERS"
"18055",12,"444","LOYAL"
"18054",3,"111","CHURNED CUSTOMER"
"18053",7,"322","POTENTIAL CHURNERS"
"18052",6,"114","CHURNED CUSTOMER"
"18051",8,"143","SLIPPING AWAY, CANNOT LOSE"
"18050",6,"222","POTENTIAL CHURNERS"
"18049",5,"122","CANNOT BE DEFINED"
"18048",6,"222","POTENTIAL CHURNERS"
"18047",4,"121","CHURNED CUSTOMER"
"18046",3,"111","CHURNED CUSTOMER"
"18045",5,"311","NEW CUSTOMERS"
"18044",12,"444","LOYAL"
"18043",8,"422","ACTIVE"
"18042",6,"321","ACTIVE"
"18041",12,"444","LOYAL"
"18040",8,"422","ACTIVE"
"18039",7,"232","CANNOT BE DEFINED"
"18038",3,"111","CHURNED CUSTOMER"
"18037",7,"241","CANNOT BE DEFINED"
"18036",10,"343","SLIPPING AWAY, CANNOT LOSE"
"18035",9,"333","ACTIVE"
"18034",8,"422","ACTIVE"
"18033",5,"311","NEW CUSTOMERS"
"18032",4,"211","CHURNED CUSTOMER"
"18031",5,"212","CHURNED CUSTOMER"
"18030",7,"421","NEW CUSTOMERS"
"18029",4,"112","CHURNED CUSTOMER"
"18028",3,"111","CHURNED CUSTOMER"
"18027",4,"211","CHURNED CUSTOMER"
"18026",6,"123","CHURNED CUSTOMER"
"18025",8,"233","POTENTIAL CHURNERS"
"18024",6,"222","POTENTIAL CHURNERS"
"18022",9,"333","ACTIVE"
"18021",4,"121","CHURNED CUSTOMER"
"18020",3,"111","CHURNED CUSTOMER"
"18019",5,"311","NEW CUSTOMERS"
"18018",6,"231","POTENTIAL CHURNERS"
"18017",8,"332","ACTIVE"
"18016",10,"343","SLIPPING AWAY, CANNOT LOSE"
"18015",6,"411","NEW CUSTOMERS"
"18014",5,"311","NEW CUSTOMERS"
"18013",5,"221","POTENTIAL CHURNERS"
"18012",3,"111","CHURNED CUSTOMER"
"18011",6,"222","POTENTIAL CHURNERS"
"18010",4,"211","CHURNED CUSTOMER"
"18009",9,"243","CANNOT BE DEFINED"
"18008",11,"344","SLIPPING AWAY, CANNOT LOSE"
"18007",3,"111","CHURNED CUSTOMER"
"18006",10,"433","LOYAL"
"18005",7,"421","NEW CUSTOMERS"
"18004",4,"211","CHURNED CUSTOMER"
"18003",6,"222","POTENTIAL CHURNERS"
"18002",6,"231","POTENTIAL CHURNERS"
"18001",10,"433","LOYAL"
"18000",3,"111","CHURNED CUSTOMER"
"17999",7,"322","POTENTIAL CHURNERS"
"17998",5,"122","CANNOT BE DEFINED"
"17997",10,"343","SLIPPING AWAY, CANNOT LOSE"
"17996",6,"132","CHURNED CUSTOMER"
"17995",7,"232","CANNOT BE DEFINED"
"17994",10,"244","SLIPPING AWAY, CANNOT LOSE"
"17993",3,"111","CHURNED CUSTOMER"
"17992",3,"111","CHURNED CUSTOMER"
"17991",5,"221","POTENTIAL CHURNERS"
"17990",8,"233","POTENTIAL CHURNERS"
"17989",4,"211","CHURNED CUSTOMER"
"17988",10,"442","CANNOT BE DEFINED"
"17987",8,"233","POTENTIAL CHURNERS"
"17986",5,"311","NEW CUSTOMERS"
"17985",7,"412","CANNOT BE DEFINED"
"17984",8,"233","POTENTIAL CHURNERS"
"17983",3,"111","CHURNED CUSTOMER"
"17982",3,"111","CHURNED CUSTOMER"
"17981",3,"111","CHURNED CUSTOMER"
"17980",8,"233","POTENTIAL CHURNERS"
"17979",8,"332","ACTIVE"
"17978",8,"233","POTENTIAL CHURNERS"
"17977",8,"323","ACTIVE"
"17976",5,"212","CHURNED CUSTOMER"
"17975",12,"444","LOYAL"
"17974",10,"433","LOYAL"
"17973",5,"311","NEW CUSTOMERS"
"17972",4,"211","CHURNED CUSTOMER"
"17971",3,"111","CHURNED CUSTOMER"
"17970",5,"212","CHURNED CUSTOMER"
"17969",10,"244","SLIPPING AWAY, CANNOT LOSE"
"17968",7,"232","CANNOT BE DEFINED"
"17967",6,"222","POTENTIAL CHURNERS"
"17966",10,"343","SLIPPING AWAY, CANNOT LOSE"
"17965",11,"344","SLIPPING AWAY, CANNOT LOSE"
"17964",7,"322","POTENTIAL CHURNERS"
"17963",6,"132","CHURNED CUSTOMER"
"17962",7,"232","CANNOT BE DEFINED"
"17961",12,"444","LOYAL"
"17960",6,"231","POTENTIAL CHURNERS"
"17959",3,"111","CHURNED CUSTOMER"
"17958",7,"223","POTENTIAL CHURNERS"
"17957",6,"321","ACTIVE"
"17956",4,"211","CHURNED CUSTOMER"
"17955",8,"233","POTENTIAL CHURNERS"
"17954",12,"444","LOYAL"
"17953",3,"111","CHURNED CUSTOMER"
"17952",7,"232","CANNOT BE DEFINED"
"17951",9,"333","ACTIVE"
"17950",10,"343","SLIPPING AWAY, CANNOT LOSE"
"17949",12,"444","LOYAL"
"17948",6,"222","POTENTIAL CHURNERS"
"17947",5,"311","NEW CUSTOMERS"
"17946",5,"221","POTENTIAL CHURNERS"
"17945",5,"122","CANNOT BE DEFINED"
"17944",3,"111","CHURNED CUSTOMER"
"17942",6,"411","NEW CUSTOMERS"
"17941",8,"233","POTENTIAL CHURNERS"
"17940",11,"344","SLIPPING AWAY, CANNOT LOSE"
"17939",4,"211","CHURNED CUSTOMER"
"17938",3,"111","CHURNED CUSTOMER"
"17937",12,"444","LOYAL"
"17936",7,"412","CANNOT BE DEFINED"
"17935",8,"242","CANNOT BE DEFINED"
"17934",8,"323","ACTIVE"
"17933",3,"111","CHURNED CUSTOMER"
"17932",9,"333","ACTIVE"
"17931",10,"244","SLIPPING AWAY, CANNOT LOSE"
"17930",11,"344","SLIPPING AWAY, CANNOT LOSE"
"17929",12,"444","LOYAL"
"17928",6,"321","ACTIVE"
"17927",3,"111","CHURNED CUSTOMER"
"17926",8,"233","POTENTIAL CHURNERS"
"17925",5,"212","CHURNED CUSTOMER"
"17924",12,"444","LOYAL"
"17923",7,"232","CANNOT BE DEFINED"
"17922",3,"111","CHURNED CUSTOMER"
"17921",11,"344","SLIPPING AWAY, CANNOT LOSE"
"17920",12,"444","LOYAL"
"17919",8,"323","ACTIVE"
"17918",6,"132","CHURNED CUSTOMER"
"17917",6,"321","ACTIVE"
"17916",4,"121","CHURNED CUSTOMER"
"17915",3,"111","CHURNED CUSTOMER"
"17914",6,"411","NEW CUSTOMERS"
"17913",11,"344","SLIPPING AWAY, CANNOT LOSE"
"17912",7,"232","CANNOT BE DEFINED"
"17911",8,"422","ACTIVE"
"17910",3,"111","CHURNED CUSTOMER"
"17909",3,"111","CHURNED CUSTOMER"
"17908",8,"233","POTENTIAL CHURNERS"
"17907",3,"111","CHURNED CUSTOMER"
"17906",4,"211","CHURNED CUSTOMER"
"17905",11,"344","SLIPPING AWAY, CANNOT LOSE"
"17904",6,"411","NEW CUSTOMERS"
"17903",5,"122","CANNOT BE DEFINED"
"17902",3,"111","CHURNED CUSTOMER"
"17901",7,"331","NEW CUSTOMERS"
"17900",5,"221","POTENTIAL CHURNERS"
"17899",4,"211","CHURNED CUSTOMER"
"17898",7,"331","NEW CUSTOMERS"
"17897",10,"244","SLIPPING AWAY, CANNOT LOSE"
"17896",6,"411","NEW CUSTOMERS"
"17895",5,"311","NEW CUSTOMERS"
"17894",11,"344","SLIPPING AWAY, CANNOT LOSE"
"17893",5,"221","POTENTIAL CHURNERS"
"17892",7,"331","NEW CUSTOMERS"
"17891",4,"211","CHURNED CUSTOMER"
"17890",6,"222","POTENTIAL CHURNERS"
"17889",7,"232","CANNOT BE DEFINED"
"17888",11,"443","LOYAL"
"17887",5,"221","POTENTIAL CHURNERS"
"17886",9,"333","ACTIVE"
"17885",6,"411","NEW CUSTOMERS"
"17884",12,"444","LOYAL"
"17883",11,"443","LOYAL"
"17882",5,"221","POTENTIAL CHURNERS"
"17881",4,"211","CHURNED CUSTOMER"
"17880",6,"222","POTENTIAL CHURNERS"
"17879",4,"211","CHURNED CUSTOMER"
"17878",9,"333","ACTIVE"
"17877",4,"211","CHURNED CUSTOMER"
"17876",8,"134","SLIPPING AWAY, CANNOT LOSE"
"17875",3,"111","CHURNED CUSTOMER"
"17874",7,"232","CANNOT BE DEFINED"
"17873",11,"344","SLIPPING AWAY, CANNOT LOSE"
"17872",3,"111","CHURNED CUSTOMER"
"17871",8,"233","POTENTIAL CHURNERS"
"17870",12,"444","LOYAL"
"17869",9,"243","CANNOT BE DEFINED"
"17868",3,"111","CHURNED CUSTOMER"
"17867",10,"343","SLIPPING AWAY, CANNOT LOSE"
"17866",8,"233","POTENTIAL CHURNERS"
"17865",11,"344","SLIPPING AWAY, CANNOT LOSE"
"17864",10,"433","LOYAL"
"17863",11,"344","SLIPPING AWAY, CANNOT LOSE"
"17862",8,"233","POTENTIAL CHURNERS"
"17861",12,"444","LOYAL"
"17860",8,"233","POTENTIAL CHURNERS"
"17859",4,"211","CHURNED CUSTOMER"
"17858",12,"444","LOYAL"
"17857",12,"444","LOYAL"
"17856",10,"433","LOYAL"
"17855",5,"212","CHURNED CUSTOMER"
"17854",8,"233","POTENTIAL CHURNERS"
"17853",7,"133","SLIPPING AWAY, CANNOT LOSE"
"17852",9,"432","ACTIVE"
"17851",7,"133","SLIPPING AWAY, CANNOT LOSE"
"17850",10,"244","SLIPPING AWAY, CANNOT LOSE"
"17849",9,"243","CANNOT BE DEFINED"
"17848",11,"344","SLIPPING AWAY, CANNOT LOSE"
"17847",4,"121","CHURNED CUSTOMER"
"17846",7,"313","CANNOT BE DEFINED"
"17845",6,"132","CHURNED CUSTOMER"
"17844",4,"211","CHURNED CUSTOMER"
"17843",5,"221","POTENTIAL CHURNERS"
"17842",4,"112","CHURNED CUSTOMER"
"17841",12,"444","LOYAL"
"17840",3,"111","CHURNED CUSTOMER"
"17839",5,"311","NEW CUSTOMERS"
"17838",11,"344","SLIPPING AWAY, CANNOT LOSE"
"17837",10,"343","SLIPPING AWAY, CANNOT LOSE"
"17836",6,"321","ACTIVE"
"17835",8,"422","ACTIVE"
"17834",5,"122","CANNOT BE DEFINED"
"17833",3,"111","CHURNED CUSTOMER"
"17832",5,"311","NEW CUSTOMERS"
"17831",5,"311","NEW CUSTOMERS"
"17830",9,"432","ACTIVE"
"17829",9,"234","CANNOT BE DEFINED"
"17828",10,"433","LOYAL"
"17827",11,"434","LOYAL"
"17826",4,"211","CHURNED CUSTOMER"
"17825",6,"132","CHURNED CUSTOMER"
"17824",5,"311","NEW CUSTOMERS"
"17823",5,"122","CANNOT BE DEFINED"
"17822",7,"133","SLIPPING AWAY, CANNOT LOSE"
"17821",3,"111","CHURNED CUSTOMER"
"17820",4,"211","CHURNED CUSTOMER"
"17819",11,"344","SLIPPING AWAY, CANNOT LOSE"
"17818",3,"111","CHURNED CUSTOMER"
"17817",9,"432","ACTIVE"
"17816",7,"331","NEW CUSTOMERS"
"17815",4,"112","CHURNED CUSTOMER"
"17814",7,"223","POTENTIAL CHURNERS"
"17813",10,"433","LOYAL"
"17812",11,"443","LOYAL"
"17811",12,"444","LOYAL"
"17810",5,"122","CANNOT BE DEFINED"
"17809",12,"444","LOYAL"
"17808",5,"131","CANNOT BE DEFINED"
"17807",5,"122","CANNOT BE DEFINED"
"17806",7,"412","CANNOT BE DEFINED"
"17805",8,"323","ACTIVE"
"17804",6,"222","POTENTIAL CHURNERS"
"17803",3,"111","CHURNED CUSTOMER"
"17802",11,"344","SLIPPING AWAY, CANNOT LOSE"
"17801",5,"122","CANNOT BE DEFINED"
"17800",10,"343","SLIPPING AWAY, CANNOT LOSE"
"17799",12,"444","LOYAL"
"17798",3,"111","CHURNED CUSTOMER"
"17797",11,"443","LOYAL"
"17796",10,"343","SLIPPING AWAY, CANNOT LOSE"
"17795",6,"222","POTENTIAL CHURNERS"
"17794",4,"121","CHURNED CUSTOMER"
"17793",6,"411","NEW CUSTOMERS"
"17792",5,"122","CANNOT BE DEFINED"
"17791",5,"311","NEW CUSTOMERS"
"17790",11,"344","SLIPPING AWAY, CANNOT LOSE"
"17789",6,"222","POTENTIAL CHURNERS"
"17788",8,"323","ACTIVE"
"17787",9,"234","CANNOT BE DEFINED"
"17786",6,"321","ACTIVE"
"17785",7,"322","POTENTIAL CHURNERS"
"17784",4,"121","CHURNED CUSTOMER"
"17783",7,"322","POTENTIAL CHURNERS"
"17782",5,"122","CANNOT BE DEFINED"
"17781",5,"221","POTENTIAL CHURNERS"
"17780",5,"122","CANNOT BE DEFINED"
"17779",8,"422","ACTIVE"
"17778",3,"111","CHURNED CUSTOMER"
"17777",8,"422","ACTIVE"
"17776",4,"121","CHURNED CUSTOMER"
"17775",4,"211","CHURNED CUSTOMER"
"17774",10,"244","SLIPPING AWAY, CANNOT LOSE"
"17773",5,"122","CANNOT BE DEFINED"
"17772",8,"422","ACTIVE"
"17771",8,"332","ACTIVE"
"17770",8,"233","POTENTIAL CHURNERS"
"17769",12,"444","LOYAL"
"17768",12,"444","LOYAL"
"17767",8,"422","ACTIVE"
"17766",4,"121","CHURNED CUSTOMER"
"17765",7,"232","CANNOT BE DEFINED"
"17764",9,"333","ACTIVE"
"17763",6,"231","POTENTIAL CHURNERS"
"17762",3,"111","CHURNED CUSTOMER"
"17761",6,"312","CANNOT BE DEFINED"
"17760",10,"433","LOYAL"
"17759",10,"433","LOYAL"
"17758",12,"444","LOYAL"
"17757",12,"444","LOYAL"
"17756",6,"222","POTENTIAL CHURNERS"
"17754",12,"444","LOYAL"
"17753",6,"132","CHURNED CUSTOMER"
"17752",4,"211","CHURNED CUSTOMER"
"17751",3,"111","CHURNED CUSTOMER"
"17750",11,"443","LOYAL"
"17749",7,"223","POTENTIAL CHURNERS"
"17748",5,"122","CANNOT BE DEFINED"
"17747",4,"211","CHURNED CUSTOMER"
"17746",8,"233","POTENTIAL CHURNERS"
"17745",5,"122","CANNOT BE DEFINED"
"17744",12,"444","LOYAL"
"17743",3,"111","CHURNED CUSTOMER"
"17742",9,"243","CANNOT BE DEFINED"
"17741",4,"121","CHURNED CUSTOMER"
"17740",6,"132","CHURNED CUSTOMER"
"17739",12,"444","LOYAL"
"17738",12,"444","LOYAL"
"17737",7,"421","NEW CUSTOMERS"
"17736",8,"422","ACTIVE"
"17735",12,"444","LOYAL"
"17734",9,"333","ACTIVE"
"17733",7,"322","POTENTIAL CHURNERS"
"17732",10,"244","SLIPPING AWAY, CANNOT LOSE"
"17731",9,"333","ACTIVE"
"17730",12,"444","LOYAL"
"17729",4,"112","CHURNED CUSTOMER"
"17728",11,"434","LOYAL"
"17727",8,"413","CANNOT BE DEFINED"
"17726",8,"143","SLIPPING AWAY, CANNOT LOSE"
"17725",12,"444","LOYAL"
"17724",8,"323","ACTIVE"
"17723",10,"244","SLIPPING AWAY, CANNOT LOSE"
"17722",10,"334","CANNOT BE DEFINED"
"17721",3,"111","CHURNED CUSTOMER"
"17720",12,"444","LOYAL"
"17719",11,"344","SLIPPING AWAY, CANNOT LOSE"
"17718",6,"222","POTENTIAL CHURNERS"
"17717",5,"122","CANNOT BE DEFINED"
"17716",12,"444","LOYAL"
"17715",6,"222","POTENTIAL CHURNERS"
"17714",8,"233","POTENTIAL CHURNERS"
"17713",7,"133","SLIPPING AWAY, CANNOT LOSE"
"17712",6,"312","CANNOT BE DEFINED"
"17711",8,"422","ACTIVE"
"17710",3,"111","CHURNED CUSTOMER"
"17709",7,"232","CANNOT BE DEFINED"
"17708",7,"232","CANNOT BE DEFINED"
"17707",8,"242","CANNOT BE DEFINED"
"17706",12,"444","LOYAL"
"17705",11,"443","LOYAL"
"17704",6,"222","POTENTIAL CHURNERS"
"17703",9,"333","ACTIVE"
"17702",10,"334","CANNOT BE DEFINED"
"17701",5,"212","CHURNED CUSTOMER"
"17700",12,"444","LOYAL"
"17699",5,"122","CANNOT BE DEFINED"
"17698",4,"211","CHURNED CUSTOMER"
"17697",4,"211","CHURNED CUSTOMER"
"17696",11,"344","SLIPPING AWAY, CANNOT LOSE"
"17695",8,"233","POTENTIAL CHURNERS"
"17694",8,"233","POTENTIAL CHURNERS"
"17693",4,"211","CHURNED CUSTOMER"
"17692",10,"244","SLIPPING AWAY, CANNOT LOSE"
"17691",7,"232","CANNOT BE DEFINED"
"17690",11,"344","SLIPPING AWAY, CANNOT LOSE"
"17689",4,"121","CHURNED CUSTOMER"
"17688",3,"111","CHURNED CUSTOMER"
"17687",4,"112","CHURNED CUSTOMER"
"17686",12,"444","LOYAL"
"17685",12,"444","LOYAL"
"17684",5,"311","NEW CUSTOMERS"
"17683",5,"122","CANNOT BE DEFINED"
"17682",12,"444","LOYAL"
"17681",6,"132","CHURNED CUSTOMER"
"17680",9,"432","ACTIVE"
"17679",11,"344","SLIPPING AWAY, CANNOT LOSE"
"17678",6,"222","POTENTIAL CHURNERS"
"17677",12,"444","LOYAL"
"17676",12,"444","LOYAL"
"17675",12,"444","LOYAL"
"17674",7,"322","POTENTIAL CHURNERS"
"17673",12,"444","LOYAL"
"17672",10,"334","CANNOT BE DEFINED"
"17671",11,"434","LOYAL"
"17670",4,"211","CHURNED CUSTOMER"
"17669",11,"344","SLIPPING AWAY, CANNOT LOSE"
"17668",7,"421","NEW CUSTOMERS"
"17667",11,"344","SLIPPING AWAY, CANNOT LOSE"
"17666",10,"433","LOYAL"
"17665",4,"112","CHURNED CUSTOMER"
"17664",10,"433","LOYAL"
"17663",12,"444","LOYAL"
"17662",5,"122","CANNOT BE DEFINED"
"17660",6,"222","POTENTIAL CHURNERS"
"17659",12,"444","LOYAL"
"17658",7,"322","POTENTIAL CHURNERS"
"17657",3,"111","CHURNED CUSTOMER"
